display  D   display_settings.c:202  debug_display_settings           [   0.18194] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18199] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18202] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18206] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18210] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18214] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.18219] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18223] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.18227] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18231] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.18234] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18239] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.18242] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18246] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.18250] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18254] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.18257] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18262] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.18265] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18269] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18273] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18277] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18280] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18285] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.18288] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18292] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.18296] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18300] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.18303] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18307] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.18311] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18315] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.18319] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18323] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.18326] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18331] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.18334] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18338] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18342] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18347] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18350] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18355] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.18358] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18362] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.18365] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18370] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.18373] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18377] Score is : 715
